#Code	Description
1471-2	Stonyford
1472-0	Sulphur Bank
1474-6	Ponca
1475-3	Nebraska Ponca
1476-1	Oklahoma Ponca
1478-7	Potawatomi
1479-5	Citizen Band Potawatomi
1480-3	Forest County
1481-1	Hannahville
1482-9	Huron Potawatomi
1483-7	Pokagon Potawatomi
1484-5	Prairie Band
1485-2	Wisconsin Potawatomi
1487-8	Powhatan
1489-4	Pueblo
1490-2	Acoma
1491-0	Arizona Tewa
1492-8	Cochiti
1493-6	Hopi
1494-4	Isleta
1495-1	Jemez
1496-9	Keres
1497-7	Laguna
1498-5	Nambe
1499-3	Picuris
1500-8	Piro
1501-6	Pojoaque
1502-4	San Felipe
1503-2	San Ildefonso
1504-0	San Juan Pueblo
1505-7	San Juan De
1506-5	San Juan
1507-3	Sandia
1508-1	Santa Ana
1509-9	Santa Clara
1510-7	Santo Domingo
1511-5	Taos
1512-3	Tesuque
1513-1	Tewa
1514-9	Tigua
1515-6	Zia
1516-4	Zuni
1518-0	Puget Sound Salish
1519-8	Duwamish
1520-6	Kikiallus
1521-4	Lower Skagit
1522-2	Muckleshoot
1523-0	Nisqually
1524-8	Nooksack
1525-5	Port Madison
1526-3	Puyallup
1527-1	Samish
1528-9	Sauk-Suiattle
1529-7	Skokomish
1530-5	Skykomish
1531-3	Snohomish
1532-1	Snoqualmie
1533-9	Squaxin Island
1534-7	Steilacoom
1535-4	Stillaguamish
1536-2	Suquamish
1537-0	Swinomish
1538-8	Tulalip
1539-6	Upper Skagit
1541-2	Quapaw
1543-8	Quinault
1545-3	Rappahannock
1547-9	Reno-Sparks
1549-5	Round Valley
1551-1	Sac and Fox
1552-9	Iowa Sac and Fox
1553-7	Missouri Sac and Fox
1554-5	Oklahoma Sac and Fox
1556-0	Salinan
1558-6	Salish
1560-2	Salish and Kootenai
1562-8	Schaghticoke
1564-4	Scott Valley
1566-9	Seminole
1567-7	Big Cypress
1568-5	Brighton
1569-3	Florida Seminole
1570-1	Hollywood Seminole
1571-9	Oklahoma Seminole
1573-5	Serrano
1574-3	San Manual
1576-8	Shasta
1578-4	Shawnee
1579-2	Absentee Shawnee
1580-0	Eastern Shawnee
1582-6	Shinnecock
1584-2	Shoalwater Bay
1586-7	Shoshone
1587-5	Battle Mountain
1588-3	Duckwater
1589-1	Elko
1590-9	Ely
1591-7	Goshute
1592-5	Panamint
1593-3	Ruby Valley
1594-1	Skull Valley
1595-8	South Fork Shoshone
1596-6	Te-Moak Western Shoshone
1597-4	Timbi-Sha Shoshone
1598-2	Washakie
1599-0	Wind River Shoshone
1600-6	Yomba
1602-2	Shoshone Paiute
1603-0	Duck Valley
1604-8	Fallon
1605-5	Fort McDermitt
1607-1	Siletz
1609-7	Sioux
1610-5	Blackfoot Sioux
1611-3	Brule Sioux
1612-1	Cheyenne River Sioux
1613-9	Crow Creek Sioux
1614-7	Dakota Sioux
1615-4	Flandreau Santee
1616-2	Fort Peck
1617-0	Lake Traverse Sioux
1618-8	Lower Brule Sioux
1619-6	Lower Sioux
1620-4	Mdewakanton Sioux
1621-2	Miniconjou
1622-0	Oglala Sioux
1623-8	Pine Ridge Sioux
1624-6	Pipestone Sioux
1625-3	Prairie Island Sioux
1626-1	Prior Lake Sioux
1627-9	Rosebud Sioux
1628-7	Sans Arc Sioux
1629-5	Santee Sioux
1630-3	Sisseton-Wahpeton
1631-1	Sisseton Sioux
1632-9	Spirit Lake Sioux
1633-7	Standing Rock Sioux
1634-5	Teton Sioux
1635-2	Two Kettle Sioux
1636-0	Upper Sioux
1637-8	Wahpekute Sioux
1638-6	Wahpeton Sioux
1639-4	Wazhaza Sioux
1640-2	Yankton Sioux
1641-0	Yanktonai Sioux
1643-6	Siuslaw
1645-1	Spokane
1647-7	Stewart
1649-3	Stockbridge
1651-9	Susanville
1653-5	Tohono O'Odham
1654-3	Ak-Chin
1655-0	Gila Bend
1656-8	San Xavier
1657-6	Sells
1659-2	Tolowa
1661-8	Tonkawa
1663-4	Tygh
1665-9	Umatilla
1667-5	Umpqua
1668-3	Cow Creek Umpqua
1670-9	Ute
1671-7	Allen Canyon
1672-5	Uintah Ute
1673-3	Ute Mountain Ute
1675-8	Wailaki
1677-4	Walla-Walla
1679-0	Wampanoag
1680-8	Gay Head Wampanoag
1681-6	Mashpee Wampanoag
1683-2	Warm Springs
1685-7	Wascopum
1687-3	Washoe
1688-1	Alpine
1689-9	Carson
1690-7	Dresslerville
1692-3	Wichita
1694-9	Wind River
1696-4	Winnebago
1697-2	Ho-chunk
1698-0	Nebraska Winnebago
1700-4	Winnemucca
1702-0	Wintun
1704-6	Wiyot
1705-3	Table Bluff
1707-9	Yakama
1709-5	Yakama Cowlitz
1711-1	Yaqui
1712-9	Barrio Libre
1713-7	Pascua Yaqui
1715-2	Yavapai Apache
1717-8	Yokuts
1718-6	Chukchansi
1719-4	Tachi
1720-2	Tule River
1722-8	Yuchi
1724-4	Yuman
1725-1	Cocopah
1726-9	Havasupai
1727-7	Hualapai
1728-5	Maricopa
1729-3	Mohave
1730-1	Quechan
1731-9	Yavapai
1732-7	Yurok
1733-5	Coast Yurok
1735-0	Alaska Native
1737-6	Alaska Indian
1739-2	Alaskan Athabascan
1740-0	Ahtna
1741-8	Alatna
1742-6	Alexander
1743-4	Allakaket
1744-2	Alanvik
1745-9	Anvik
1746-7	Arctic
1747-5	Beaver
1748-3	Birch Creek
1749-1	Cantwell
1750-9	Chalkyitsik
1751-7	Chickaloon
1752-5	Chistochina
1753-3	Chitina
1754-1	Circle
1755-8	Cook Inlet
1756-6	Copper Center
1757-4	Copper River
1758-2	Dot Lake
1759-0	Doyon
1760-8	Eagle
1761-6	Eklutna
1762-4	Evansville
1763-2	Fort Yukon
1764-0	Gakona
1765-7	Galena
1766-5	Grayling
1767-3	Gulkana
1768-1	Healy Lake
1769-9	Holy Cross
1770-7	Hughes
1771-5	Huslia
1772-3	Iliamna
1773-1	Kaltag
1774-9	Kluti Kaah
1775-6	Knik
1776-4	Koyukuk
1777-2	Lake Minchumina
1778-0	Lime
1779-8	Mcgrath
1780-6	Manley Hot Springs
1781-4	Mentasta Lake
1782-2	Minto
1783-0	Nenana
1784-8	Nikolai
1785-5	Ninilchik
1786-3	Nondalton
1787-1	Northway
1788-9	Nulato
1789-7	Pedro Bay
1790-5	Rampart
1791-3	Ruby
1792-1	Salamatof
1793-9	Seldovia
1794-7	Slana
1795-4	Shageluk
1796-2	Stevens
1797-0	Stony River
1798-8	Takotna
1799-6	Tanacross
1800-2	Tanaina
1801-0	Tanana
1802-8	Tanana Chiefs
1803-6	Tazlina
1804-4	Telida
1805-1	Tetlin
1806-9	Tok
1807-7	Tyonek
1808-5	Venetie
1809-3	Wiseman
1811-9	Southeast Alaska
1813-5	Tlingit-Haida
1814-3	Angoon
1815-0	Central Council of Tlingit and Haida Tribes
1816-8	Chilkat
1817-6	Chilkoot
1818-4	Craig
1819-2	Douglas
1820-0	Haida
1821-8	Hoonah
1822-6	Hydaburg
1823-4	Kake
1824-2	Kasaan
1825-9	Kenaitze
1826-7	Ketchikan
1827-5	Klawock
1828-3	Pelican
1829-1	Petersburg
1830-9	Saxman
1831-7	Sitka
1832-5	Tenakee Springs
1833-3	Tlingit
1834-1	Wrangell
1835-8	Yakutat
1837-4	Tsimshian
1838-2	Metlakatla
1840-8	Eskimo
1842-4	Greenland Eskimo
1844-0	Inupiat Eskimo
1845-7	Ambler
1846-5	Anaktuvuk
1847-3	Anaktuvuk Pass
1848-1	Arctic Slope Inupiat
1849-9	Arctic Slope Corporation
1850-7	Atqasuk
1851-5	Barrow
1852-3	Bering Straits Inupiat
1853-1	Brevig Mission
1854-9	Buckland
1855-6	Chinik
1856-4	Council
1857-2	Deering
1858-0	Elim
1859-8	Golovin
1860-6	Inalik Diomede
1861-4	Inupiaq
1862-2	Kaktovik
1863-0	Kawerak
1864-8	Kiana
1865-5	Kivalina
1866-3	Kobuk
1867-1	Kotzebue
1868-9	Koyuk
1869-7	Kwiguk
1870-5	Mauneluk Inupiat
1871-3	Nana Inupiat
1872-1	Noatak
1873-9	Nome
1874-7	Noorvik
1875-4	Nuiqsut
1876-2	Point Hope
1877-0	Point Lay
1878-8	Selawik
1879-6	Shaktoolik
1880-4	Shishmaref
1881-2	Shungnak
1882-0	Solomon
1883-8	Teller
1884-6	Unalakleet
1885-3	Wainwright
1886-1	Wales
1887-9	White Mountain
1888-7	White Mountain Inupiat
1889-5	Mary's Igloo
1891-1	Siberian Eskimo
1892-9	Gambell
1893-7	Savoonga
1894-5	Siberian Yupik
1896-0	Yupik Eskimo
1897-8	Akiachak
1898-6	Akiak
1899-4	Alakanuk
1900-0	Aleknagik
1901-8	Andreafsky
1902-6	Aniak
1903-4	Atmautluak
1904-2	Bethel
1905-9	Bill Moore's Slough
1906-7	Bristol Bay Yupik
1907-5	Calista Yupik
1908-3	Chefornak
1909-1	Chevak
1910-9	Chuathbaluk
1911-7	Clark's Point
1912-5	Crooked Creek
1913-3	Dillingham
1914-1	Eek
1915-8	Ekuk
1916-6	Ekwok
1917-4	Emmonak
1918-2	Goodnews Bay
1919-0	Hooper Bay
1920-8	Iqurmuit (Russian Mission)
1921-6	Kalskag
1922-4	Kasigluk
1923-2	Kipnuk
1924-0	Koliganek
1925-7	Kongiganak
1926-5	Kotlik
1927-3	Kwethluk
1928-1	Kwigillingok
1929-9	Levelock
1930-7	Lower Kalskag
1931-5	Manokotak
1932-3	Marshall
1933-1	Mekoryuk
1934-9	Mountain Village
1935-6	Naknek
1936-4	Napaumute
1937-2	Napakiak
1938-0	Napaskiak
1939-8	Newhalen
1940-6	New Stuyahok
1941-4	Newtok
1942-2	Nightmute
1943-0	Nunapitchukv
1944-8	Oscarville
1945-5	Pilot Station
1946-3	Pitkas Point
1947-1	Platinum
1948-9	Portage Creek
1949-7	Quinhagak
1950-5	Red Devil
1951-3	St. Michael
1952-1	Scammon Bay
1953-9	Sheldon's Point
1954-7	Sleetmute
1955-4	Stebbins
1956-2	Togiak
1957-0	Toksook
1958-8	Tulukskak
1959-6	Tuntutuliak
1960-4	Tununak
1961-2	Twin Hills
1962-0	Georgetown (Yupik-Eskimo)
1963-8	St. Mary's
1964-6	Umkumiate
1966-1	Aleut
1968-7	Alutiiq Aleut
1969-5	Tatitlek
1970-3	Ugashik
1972-9	Bristol Bay Aleut
1973-7	Chignik
1974-5	Chignik Lake
1975-2	Egegik
1976-0	Igiugig
1977-8	Ivanof Bay
1978-6	King Salmon
1979-4	Kokhanok
1980-2	Perryville
1981-0	Pilot Point
1982-8	Port Heiden
1984-4	Chugach Aleut
1985-1	Chenega
1986-9	Chugach Corporation
1987-7	English Bay
1988-5	Port Graham
1990-1	Eyak
1992-7	Koniag Aleut
1993-5	Akhiok
1994-3	Agdaagux
1995-0	Karluk
1996-8	Kodiak
1997-6	Larsen Bay
1998-4	Old Harbor
1999-2	Ouzinkie
2000-8	Port Lions
2002-4	Sugpiaq
2004-0	Suqpigaq
2006-5	Unangan Aleut
2007-3	Akutan
2008-1	Aleut Corporation
2009-9	Aleutian
2010-7	Aleutian Islander
2011-5	Atka
2012-3	Belkofski
2013-1	Chignik Lagoon
2014-9	King Cove
2015-6	False Pass
2016-4	Nelson Lagoon
2017-2	Nikolski
2018-0	Pauloff Harbor
2019-8	Qagan Toyagungin
2020-6	Qawalangin
2021-4	St. George
2022-2	St. Paul
2023-0	Sand Point
2024-8	South Naknek
2025-5	Unalaska
2026-3	Unga
2028-9	Asian
2029-7	Asian Indian
2030-5	Bangladeshi
2031-3	Bhutanese
2032-1	Burmese
2033-9	Cambodian
2034-7	Chinese
2035-4	Taiwanese
2036-2	Filipino
2037-0	Hmong
2038-8	Indonesian
2039-6	Japanese
2040-4	Korean
2041-2	Laotian
2042-0	Malaysian
2043-8	Okinawan
2044-6	Pakistani
2045-3	Sri Lankan
2046-1	Thai
2047-9	Vietnamese
2048-7	Iwo Jiman
2049-5	Maldivian
2050-3	Nepalese
2051-1	Singaporean
2052-9	Madagascar
2054-5	Black or African American
2056-0	Black
2058-6	African American
2060-2	African
2061-0	Botswanan
2062-8	Ethiopian
2063-6	Liberian
2064-4	Namibian
2065-1	Nigerian
2066-9	Zairean
2067-7	Bahamian
2068-5	Barbadian
2069-3	Dominican
2070-1	Dominica Islander
2071-9	Haitian
2072-7	Jamaican
2073-5	Tobagoan
2074-3	Trinidadian
2075-0	West Indian
2076-8	Native Hawaiian or Other Pacific Islander
2078-4	Polynesian
2079-2	Native Hawaiian
2080-0	Samoan
2081-8	Tahitian
2082-6	Tongan
2083-4	Tokelauan
2085-9	Micronesian
2086-7	Guamanian or Chamorro
2087-5	Guamanian
2088-3	Chamorro
2089-1	Mariana Islander
2090-9	Marshallese
2091-7	Palauan
2092-5	Carolinian
2093-3	Kosraean
2094-1	Pohnpeian
2095-8	Saipanese
2096-6	Kiribati
2097-4	Chuukese
2098-2	Yapese
2100-6	Melanesian
2101-4	Fijian
2102-2	Papua New Guinean
2103-0	Solomon Islander
2104-8	New Hebrides
2106-3	White
2108-9	European
2109-7	Armenian
2110-5	English
2111-3	French
2112-1	German
2113-9	Irish
2114-7	Italian
2115-4	Polish
2116-2	Scottish
2118-8	Middle Eastern or North African
2119-6	Assyrian
2120-4	Egyptian
2121-2	Iranian
2122-0	Iraqi
2123-8	Lebanese
2124-6	Palestinian
2125-3	Syrian
2126-1	Afghanistani
2127-9	Israeli
2129-5	Arab
2131-1	Other Race
2500-7	Other Pacific Islander
