URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-apgar-timing,2.0.0-Preview3,active,,ApgarTimingVS,APGAR Score Timing,"This valueset contains codes to represent standard timings for APGAR assessments.","StructureDefinition/Observation-apgar-score","SCT,LOINC"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fetal-presentations-max,2.0.0-Preview3,active,,FetalPresentationsMaxVS,Fetal Presentations - Max,"This valueset contains codes to represent fetal presentations. It expands on the [FetalPresentationsVS](ValueSet-ValueSet-fetal-presentations.html) by including intensionally all codes for abnormal presentations,  as suggested by [FHIR-44554](https://jira.hl7.org/browse/FHIR-44554).",,"SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-fetal-remains-disposition-method,2.0.0-Preview3,active,,FetalRemainsDispositionMethodVS,Fetal Remains Disposition Method,"This valueset contains codes to represent Fetal Remains Method of Disposition. Fetal Remains Disposition Method Value Set differs from the related VRDR [MethodOfDispositionVS](https://hl7.org/fhir/us/vrdr/ValueSet-vrdr-method-of-disposition-vs.html) since it includes 'Hospital Disposition', but not 'Entombment'.","StructureDefinition/Observation-fetal-remains-disposition-method","THO (V3),SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-infections-during-pregnancy-live-birth,2.0.0-Preview3,active,,InfectionsDuringPregnancyLiveBirthVS,Infections During Pregnancy Live Birth,"This valueset contains codes to represent Infections During Pregnancy Live Birth. Includes 'Other' value for general utility, although #OTH is not allowed for birth submissions to NCHS.  Mapping to IJE codes [here](ConceptMap-InfectionsDuringPregnancyLiveBirthCM.html).","ConceptMap/InfectionsDuringPregnancyLiveBirthCM,StructureDefinition/Condition-infection-present-during-pregnancy","THO (V3),SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-informant-relationship-to-mother,2.0.0-Preview3,active,,InformantRelationshipToMotherVS,Informant Relationship to Mother,"This valueset contains codes to represent informants relationship to mother.","Questionnaire/Questionnaire-mothers-live-birth","Internal"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-location-types,2.0.0-Preview3,active,,LocationTypeVS,Location Types,"This valueset contains codes used to differentate transfer and birth locations","StructureDefinition/Location-bfdr","Internal"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-newborn-congenital-anomalies,2.0.0-Preview3,active,,NewbornCongenitalAnomaliesVS,Newborn Congenital Anomalies,"The valueset contains codes to represent newborn congenital anomalies. Includes 'Other' value for general utility, although #OTH is not allowed for birth submissions to NCHS.  Mapping to IJE codes [here](ConceptMap-NewbornCongenitalAnomaliesCM.html).","StructureDefinition/Condition-congenital-anomaly-of-newborn,ConceptMap/NewbornCongenitalAnomaliesCM","THO (V3),SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-number-previous-cesareans-edit-flags,2.0.0-Preview3,active,,NumberPreviousCesareansEditFlagsVS,Number of Previous Cesareans Edit Flags (NCHS),"This valueset contains codes to represent Number of Previous Cesareans Edit Flags.  Mapping to IJE codes [here](ConceptMap-NumberPreviousCesareansEditFlagsCM.html).","StructureDefinition/Observation-number-previous-cesareans,ConceptMap/NumberPreviousCesareansEditFlagsCM","Internal,hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-obstetric-procedure-outcome,2.0.0-Preview3,active,,ObstetricProcedureOutcomeVS,Obstetric Procedure Outcome,"This valueset contains codes that represent the successful or unsuccessful outcome of an obstretric procedure","StructureDefinition/Procedure-obstetric","SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-performed-not-performed-planned,2.0.0-Preview3,active,,PerformedNotPerformedPlannedVS,Performed NotPerformed Planned,"This valueset contains codes to represent the status (performed, not performed, planned) of histological placental examinations.  Mapping to IJE codes [here](ConceptMap-PerformedNotPerformedPlannedCM.html).","StructureDefinition/Observation-autopsy-performed-indicator,ConceptMap/PerformedNotPerformedPlannedCM,StructureDefinition/Observation-histological-placental-exam-performed","SCT"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-pregnancy-report-edit-flags,2.0.0-Preview3,active,,PregnancyReportEditFlagsVS,Pregnancy Report Edit Flags (NCHS),"This valueset contains codes to represent Pregnancy Report Edit Flags. Used for MothersHeight, MothersDeliveryWeight, MothersPrepregnancyWeight, NumberPrenatalCareVisits.  Mapping to IJE codes [here](ConceptMap-PregnancyReportEditFlagsCM.html).","StructureDefinition/Observation-mother-prepregnancy-weight,StructureDefinition/Observation-mother-height,ConceptMap/PregnancyReportEditFlagsCM,StructureDefinition/Observation-number-prenatal-visits,StructureDefinition/Observation-mother-delivery-weight","hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/bfdr/ValueSet/ValueSet-units-of-gestational-age,2.0.0-Preview3,active,,UnitsOfGestationalAgeVS,Units of Gestational Age,"This valueset contains the set of codes for specifying the units used when recording gestational age (days, weeks.).  Reporting to NCHS is always in units of weeks, but other users of the associated [ObservationGestationalAgeAtDelivery](StructureDefinition-Observation-gestational-age-at-delivery.html) profile may want to record days. ","StructureDefinition/Observation-gestational-age-at-delivery","UCUM"
http://hl7.org/fhir/us/bfdr/ValueSet/cigarette-smoking-before-during-pregnancy,2.0.0-Preview3,active,,CigaretteSmokingBeforeAndDuringPregnancyVS,Cigarette Smoking Before and During Pregnancy,"This valueset contains codes to represent the number of cigarettes smoked in specific periods before and during pregnancy.","StructureDefinition/Observation-cigarette-smoking-before-during-pregnancy","LOINC"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-birth-attendant-titles-vr,2.0.0,active,,ValueSetBirthAttendantTitlesVitalRecords,Birth Attendants Titles Vital Records,"This valueset contains codes to represent the type of birth attendant titles.  It is based on the original [PHVS_BirthAttendantTitles_NCHS](https://phinvads.cdc.gov/vads/ViewValueSet.action?id=7B108BDB-5F50-482F-9E9D-643EC75364A2) PHINVADS valueset.  This IG is the primary source for valuesets for use in vital records.  Mapping to IJE codes [here](ConceptMap-ConceptMapBirthAttendantTitlesVitalRecords.html).","StructureDefinition/Practitioner-birth-certifier,StructureDefinition/Practitioner-birth-attendant","THO (V3),SCT"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-birthplace-country-vr,2.0.0,active,,ValueSetBirthplaceCountryVitalRecords,Birthplace Country Vital Records,"This valueset contains the set of codes used to represent 2 Letter Birthplace Country Codes from GEC and ISO 3166-1.  Includes historic countries that no longer exist.","Questionnaire/Questionnaire-mothers-live-birth,Questionnaire/Questionnaire-patients-fetal-death","hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-education-level-vr,2.0.0,active,,ValueSetEducationLevelVitalRecords,Education Level Vital Records,"This valueset contains the set of codes used to represent the Highest educational level achieved.    Mapping to IJE codes [here](ConceptMap-ConceptMapEducationLevelVitalRecords.html).","Questionnaire/Questionnaire-mothers-live-birth,Questionnaire/Questionnaire-patients-fetal-death","THO (V3),THO (V2)"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-residence-country-vr,2.0.0,active,,ValueSetResidenceCountryVitalRecords,Residence Country Vital Records,"This valueset contains the set of codes used to represent 2 Letter Residence Country Codes from GEC and ISO 3166-1.  Excludes historic countries that no longer exist","Questionnaire/Questionnaire-mothers-live-birth,Questionnaire/Questionnaire-patients-fetal-death","hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-role-vr,2.0.0,active,,ValueSetRoleVitalRecords,Role Vital Records,"This value set contains codes that represent persons for whom some observations can be reported.","StructureDefinition/Extension-role","THO (V3)"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-sex-assigned-at-birth-vr,2.0.0,active,,ValueSetSexAssignedAtBirthVitalRecords,Sex Assigned At Birth Vital Records,"This valueset contains the subset of the US Core Birth Sex Valueset that can be used for a child or decedent fetus' Vital Records.    Mapping to IJE codes [here for child](ConceptMap-ConceptMapBirthSexChildVitalRecords.html) and [here for decedent fetus](ConceptMap-ConceptMapBirthSexFetusVitalRecords.html).","StructureDefinition/Patient-decedent-fetus","THO (V3)"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-states-territories-provinces-vr,2.0.0,active,,ValueSetStatesTerritoriesAndProvincesVitalRecords,States, Territories and Provinces Vital Records,"This valueset contains the set of codes used to represent 2 Letter States and Provinces","Questionnaire/Questionnaire-mothers-live-birth,Questionnaire/Questionnaire-patients-fetal-death","THO (V3),hl7.fhir.us.vr-common-library,Other"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-usstates-vr,2.0.0,active,,ValueSetUSStatesVitalRecords,US States Vital Records,"This valueset contains the set of 2 Letter codes used to represent the 50 US States and DC","Questionnaire/Questionnaire-mothers-live-birth,Questionnaire/Questionnaire-patients-fetal-death","hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-usterritories-vr,2.0.0,active,,ValueSetUSTerritoriesVitalRecords,US Territories Vital Records,"This valueset contains the set of 2 Letter codes used to represent US Territories","Questionnaire/Questionnaire-mothers-live-birth,Questionnaire/Questionnaire-patients-fetal-death","hl7.fhir.us.vr-common-library"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-yes-no-not-applicable-vr,2.0.0,active,,ValueSetYesNoNotApplicableVitalRecords,Yes No Not Applicable Vital Records,"A set of codes used to respond to any question that can be answered Yes, No, or Not Applicable.  It is based on the original [Yes No Not Applicable (NCHS)[2.16.840.1.114222.4.11.7486]](https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.7486) PHINVADS valueset.  This IG is the primary source for valuesets for use in vital records.  Mapping to IJE codes [here](ConceptMap-ConceptMapYesNoNotApplicableVitalRecords.html).","StructureDefinition/Observation-autopsy-histological-exam-results-used,StructureDefinition/Observation-paternity-acknowledgement-signed","THO (V3),THO (V2)"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-yes-no-unknown-vr,2.0.0,active,,ValueSetYesNoUnknownVitalRecords,Yes No Unknown Vital Records,"This valueset contains the set of codes used to respond to any question that can be answered Yes, No, or Unknown.  Mapping to IJE codes [here](ConceptMap-ConceptMapYesNoUnknownVitalRecords.html).","StructureDefinition/Observation-mother-married-during-pregnancy,StructureDefinition/Observation-autopsy-performed-indicator,Questionnaire/Questionnaire-mothers-live-birth,Questionnaire/Questionnaire-patients-fetal-death,StructureDefinition/Observation-mother-received-wic-food","THO (V3),THO (V2)"
http://phinvads.cdc.gov/fhir/ValueSet/2.16.840.1.114222.4.11.7933,1,active,,PHVS_CauseOfFetalDeath_ICD-10_CDC,Cause of Fetal Death ICD-10,"This value set contains the ICD10 codes for causes   of fetal death as defined by the ICD-10-Mortality   Fetal Manual (2016).  Defined as the following,   a cause of fetal death is the morbid condition   or disease process, abnormality, injury, or poisoning   leading directly to fetal death. The initiating   cause of fetal death is the disease or injury,   which initiated the chain of morbid events   leading directly to death or the circumstances   of the accident or violence, which produced fatal   injury. A fetal death often results from the   combined effect of two or more conditions. These   conditions may be completely unrelated, arising   independently of each other or they may be causally   related to each other; that is, one cause may   lead to another which in turn, leads to a third   cause, etc.","StructureDefinition/Observation-coded-other-fetal-death-cause-or-condition,StructureDefinition/Observation-coded-initiating-fetal-death-cause-or-condition","hl7.terminology.r4"
http://phinvads.cdc.gov/fhir/ValueSet/2.16.840.1.114222.4.11.8067,1,active,,PHVS_Industry_CDC_NAICS2017,Industry CDC NAICS 2017,"","StructureDefinition/Observation-present-job","Other"
http://phinvads.cdc.gov/fhir/ValueSet/2.16.840.1.114222.4.11.8068,1,active,,PHVS_Occupation_CDC_SOC2018,Occupation CDC SOC 2018,"","StructureDefinition/Observation-present-job","Other"
